fadn_alue,kuntaid
3,5
4,9
3,10
1,16
1,18
1,19
1,20
1,35
1,43
2,46
4,47
1,49
1,50
1,51
3,52
1,60
1,61
1,62
1,65
4,69
4,71
4,72
3,74
1,75
1,76
2,77
1,78
1,79
1,81
1,82
1,86
2,90
1,91
1,92
2,97
1,98
1,99
1,102
1,103
4,105
1,106
1,108
1,109
1,111
4,139
2,140
1,142
1,143
3,145
2,146
4,148
1,149
3,151
3,152
1,153
1,165
2,167
1,169
1,170
2,171
2,172
2,176
1,177
2,178
2,179
1,181
2,182
1,186
1,202
2,204
4,205
4,208
1,211
2,213
1,214
2,216
3,217
3,218
1,224
2,226
1,230
3,231
3,232
3,233
3,236
2,239
4,240
4,241
4,244
1,245
2,249
1,250
2,256
1,257
2,260
4,261
2,263
2,265
1,271
3,272
4,273
2,275
2,276
3,280
1,284
1,285
1,286
3,287
3,288
4,290
2,291
1,295
2,297
3,300
3,301
1,304
4,305
2,309
2,312
1,316
4,317
1,318
4,320
1,322
1,398
3,399
1,400
2,402
3,403
1,405
1,407
3,408
2,410
1,416
1,417
1,418
2,420
3,421
2,422
1,423
4,425
2,426
1,430
1,433
1,434
2,435
4,436
1,438
3,440
1,441
1,444
1,445
3,475
1,478
1,480
1,481
4,483
1,484
1,489
2,491
4,494
2,495
4,498
3,499
2,500
1,503
1,504
1,505
2,507
1,508
1,529
1,531
4,535
1,536
1,538
2,541
1,543
3,545
1,560
1,561
1,562
4,563
4,564
1,576
1,577
4,578
1,580
1,581
4,583
3,584
2,588
2,592
2,593
2,595
3,598
3,599
2,601
1,604
2,607
1,608
1,609
1,611
4,614
4,615
1,616
1,619
4,620
2,623
1,624
4,625
4,626
4,630
1,631
1,635
1,636
1,638
4,678
1,680
2,681
4,683
1,684
2,686
2,687
1,689
4,691
1,694
4,697
4,698
1,700
1,702
1,704
2,707
1,710
2,729
4,732
1,734
1,736
1,738
1,739
2,740
4,742
3,743
4,746
1,747
4,748
2,749
4,751
1,753
1,755
4,758
3,759
1,761
2,762
4,765
1,766
2,768
1,771
4,777
2,778
1,781
1,783
4,785
1,790
4,791
1,831
4,832
1,833
1,834
1,837
2,844
4,845
3,846
2,848
3,849
2,850
4,851
1,853
4,854
2,857
1,858
4,859
1,886
1,887
4,889
4,890
2,892
3,893
1,895
3,905
1,908
2,911
2,915
1,918
2,921
1,922
3,924
2,925
1,927
2,931
3,934
1,935
1,936
1,941
3,946
4,976
4,977
1,980
1,981
3,989
2,992
